,Title,Organisation,Closing Date,Job Type,Discipline,Location
75,FY26 Trainee - Melbourne - Tax & Legal,PwC,Closing in 10 days,Cadetships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Melbourne']
76,FY26 Trainee - Newcastle - Tax & Legal,PwC,Closing in 10 days,Cadetships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Regional New South Wales']
77,FY26 Graduate - Adelaide - Tax & Legal,PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Adelaide']
78,FY26 Graduate - Brisbane - Tax & Legal,PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Brisbane']
79,"FY26 Graduate - Adelaide - Accounting, Assurance & Audit",PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Adelaide']
80,"FY26 Graduate - Brisbane - Accounting, Assurance & Audit",PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Brisbane']
81,"FY26 Graduate - Canberra - Accounting, Assurance & Audit",PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Canberra']
82,"FY26 Graduate - Melbourne - Accounting, Assurance & Audit",PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Melbourne']
83,FY26 Graduate - Melbourne - Deals,PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Engineering', 'Information Technology', 'Law']",['Melbourne']
84,FY26 Graduate - Melbourne - Risk,PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Compliance', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Information Technology', 'Law', 'Mathematics']",['Melbourne']
